MPN,Quantity,Value,Tolerance,Wattage,Voltage,Current,Dielectric Characteristic,Resistance,Impedance,Package (LxW),Description,Manufacturer,Datasheet,DBID
SN65C3223,,SN65C3223,,,,,,,,SSOP-20,3- to 5.5-V dual channel 1Mbps RS-232 line driver/receiver with +/-15-kV ESD protection,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn65c3223.pdf?ts=1760789289729&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN65C3223,DMT-010020
74HC1G125GW,,74HC1G125,,,,,,,,TSSOP-5,Bus buffer/line driver; 3-state,Nexperia,https://assets.nexperia.com/documents/data-sheet/74HC_HCT1G125.pdf,DMT-010021
74AUP1G97GW,,74AUP1G97,,,,,,,,TSSOP-6,Low-power configurable multiple function gate,Nexperia,https://assets.nexperia.com/documents/data-sheet/74AUP1G97.pdf,DMT-010022
M95256-RMN6TP,,M95256,,,,,,,,SOIC-8,256-Kbit serial SPI bus EEPROM with high-speed clock,ST Microelectronics,https://www.st.com/resource/en/datasheet/m95256-w.pdf,DMT-010023
TMS5703137DZWTQQ1,,TMS5703137,,,,,,,,NFBGA-337,TMS570LS3137 16- and 32-Bit RISC Flash Microcontroller,Texas Instruments,https://www.ti.com/lit/ds/symlink/tms570ls3137.pdf?ts=1760789472063&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTMS570LS3137%252Fpart-details%252FTMS5703137DZWTQQ1,DMT-010024
SZMMBZ6V8ALT1G,,SZMMBZ6V8,,,,,,,,SOT23-3,SOT?23 Dual Common Anode Zeners,Onsemi,https://www.onsemi.jp/download/data-sheet/pdf/mmbz5v6alt1-d.pdf,DMT-010025
PESD2CANFD24V-UX,,PESD2CANFD24V,,,,,,,,SC-70-3,ESD protection for In-vehicle networks,Nexperia,https://assets.nexperia.com/documents/data-sheet/PESD2CANFD24V-U.pdf,DMT-010026
PESD2IVN24-TR,,PESD2IVN24,,,,,,,,SOT23-3,ESD protection for In-vehicle networks,Nexperia,https://assets.nexperia.com/documents/data-sheet/PESD2IVN24-T.pdf,DMT-010027
RCLAMP0554S.TCT,,RCLAMP0554S,,,,,,,,SOT23-6,RailClamp® Low Capacitance TVS Diode Array,Samtech,https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/RQ000007tgvR/cL1t.xGoA5eYFohlyMRog9ZjosSdZaUNOWprHf.K55c,DMT-010028
NVMFD6H846NL,,NVMFD6H846,,,,,,,,DFN8 5x6,"MOSFET - Power, Dual N-Channel, 80 V, 15 m? 31 A NVMFD6H846NL",Onsemi,https://www.onsemi.com/download/data-sheet/pdf/nvmfd6h846nl-d.pdf,DMT-010029
BSS138LT1G,,BSS138,,,,,,,,SOT23-3,"Single N-Channel Logic Level Power MOSFET 50V, 200mA, 3.5?",Onsemi,https://www.onsemi.com/download/data-sheet/pdf/bss138lt1-d.pdf,DMT-010030
TPS57114QRTERQ1,,TPS57114,,,,,,,,WQFN-16,"Automotive 2.95-V to 6-V, 4-A, 2-MHz synchronous buck converter",Texas Instruments,https://www.ti.com/lit/ds/symlink/tps57114c-q1.pdf?ts=1760789673681&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS57114C-Q1,DMT-010031
OPA365AQDBVRQ1,,OPA365,,,,,,,,SOT23-5,"Automotive 2.2V, 50MHz, Low-Noise, Single-Supply Rail-to-Rail Operational Amplifier",Texas Instruments,https://www.ti.com/lit/ds/symlink/opa365-q1.pdf?ts=1760789701722&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPA365-Q1%252Fpart-details%252FOPA365AQDBVRQ1,DMT-010032
TPS74801DRCT,,TPS74801,,,,,,,,VSON-EP-10,1.5-A low-VIN (0.8 V) adjustable low-dropout (LDO) voltage regulator with power good and enable,Texas Instruments,https://www.ti.com/lit/ds/symlink/tps74801.pdf?ts=1760789727788&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS74801%252Fpart-details%252FTPS74801DRCT,DMT-010033
SQ2315ES-T1-GE3,,SQ2315ES,,,,,,,,SOT23-3,Automotive P-Channel 12 V (D-S) 175 °C MOSFET,Vishay,https://www.vishay.com/docs/71507/sq2315es.pdf,DMT-010034
SiR414DP-T1-GE3,,SiR414DP,,,,,,,,PowerPAK SO-8,N-Channel 40 V (D-S) MOSFET,Vishay,https://www.vishay.com/docs/64727/sir414dp.pdf,DMT-010035
LM50CIM3/NOPB,,LM50CIM3,,,,,,,,SOT23-3,±2°C analog-output temperature sensor with 10mV/°C gain,Texas Instruments,https://www.ti.com/lit/ds/symlink/lm50.pdf?ts=1760789861167&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM50%252Fpart-details%252FLM50CIM3%252FNOPB,DMT-010036
2N7002DW-7-F,,2N7002,,,,,,,,SOT-363-6,Dual N-channel Small Signal MOSFET 60 V in SOT363 package,Infineon,https://www.infineon.com/assets/row/public/documents/24/49/2n7002dw-rev2-3.pdf,DMT-010037
DS90UB947-Q1,,DS90UB947,,,,,,,,VQFN-64,DS90UB947-Q1 1080p OpenLDI to FPD-Link III serializer,Texas Instruments,https://www.ti.com/lit/ds/symlink/ds90ub947-q1.pdf?ts=1760798389527&ref_url=https%253A%252F%252Fwww.google.com%252F,DMT-010038
ATSAMC21J18,,ATSAMC21J18,,,,,,,,VQFN-64,5-Volt 32-Bit ARM Cortex M0+ MCU with CAN-FD,Microchip,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-C20-C21-Family-Data-Sheet-DS60001479.pdf,DMT-010039
N25Q256A13EF840E,,N25Q256A13,,,,,,,,VDFPN-8,NOR Memory IC 256Mbit SPI 108 MHz ,Micron,https://datasheet.ciiva.com/15126/getdatasheetpartid-375479-15126483.pdf,DMT-010040
NVMFS5C604NLWFT1G,5,NVMFS5C604,,,,,,,,DFNW5,"Power, Single N-Channel 60 V, 1.2 m, 287 A",Onsemi,https://www.onsemi.com/pdf/datasheet/nvmfs5c604nl-d.pdf,DMT-010041
